num,name,team,birthdate,pos,country
16,Лиам Купер,Лидс Юнайтед,30-8-1991,зщ,2
22,Росс Маккрори,Бристоль Сити,18-3-1998,зщ,2
24,Грег Тейлор,Селтик,5-11-1997,зщ,2
26,Скотт Маккенна,Копенгаген,12-11-1996,зщ,2
4,Скотт Мактоминей,Манчестер Юнайтед,8-12-1996,поз,2
7,Джон Макгинн,Астон Вилла,18-10-1994,поз,2
8,Каллум Макгрегор,Селтик,14-6-1993,поз,2
11,Райан Кристи,Борнмут,22-2-1995,поз,2
14,Билли Гилмор,Брайтон энд Хоув Альбион,11-6-2001,поз,2
17,Стюарт Армстронг,Саутгемптон,30-3-1992,поз,2
20,Райан Джек,Рейнджерс,27-2-1992,поз,2
23,Кенни Маклейн,Норвич Сити,8-1-1992,поз,2
9,Лоуренс Шенкленд,Харт оф Мидлотиан,10-8-1995,нап,2
10,Че Адамс,Саутгемптон,13-7-1996,нап,2
18,Льюис Морган,Нью-Йорк Ред Буллз,30-9-1996,нап,2
19,Томми Конуэй,Бристоль Сити,6-8-2002,нап,2
25,Джеймс Форрест,Селтик,7-7-1991,нап,2
1,Петер Гулачи,РБ Лейпциг,6-5-1990,врт,3
12,Денеш Дибус,Ференцварош,16-11-1990,врт,3
22,Петер Саппанош,Пакш,14-11-1990,врт,3
2,Адам Ланг,Омония,17-1-1993,защ,3
3,Ботонд Балог,Парма,6-6-2002,защ,3
4,Аттила Салаи,Фрайбург,20-1-1998,защ,3
5,Аттила Фиола,Фехервар,17-2-1990,защ,3
6,Вилли Орбан,РБ Лейпциг,3-11-1992,защ,3
7,Лоик Него,Гавр,15-1-1991,защ,3
11,Милош Керкез,Борнмут,7-11-2003,защ,3
18,Жольт Надь,Академия Пушкаша,25-5-1993,защ,3
21,Эндре Ботка,Ференцварош,25-8-1994,защ,3
24,Мартон Дардаи,Герта,12-2-2002,защ,3
8,Адам Надь,Специя,17-6-1995,поз,3
10,Доминик Собослаи,Ливерпуль,25-10-2000,поз,3
13,Андраш Шефер,Унион Берлин,13-4-1999,поз,3
14,Бендегуз Болла,Серветт,22-11-1999,поз,3
15,Ласло Кляйнхайслер,Хайдук Сплит,8-4-1994,поз,3
16,Даниель Газдаг,Филадельфия Юнион,2-4-1996,поз,3
17,Каллум Стайлз,Сандерленд,28-3-2000,поз,3
25,Кристофер Хорват,Кечкемет,8-1-2002,поз,3
26,Михайли Ката,МТК,13-4-2002,поз,3
9,Мартин Адам,Ульсан Хёндэ,6-11-1994,нап,3
19,Барнабаш Варга,Ференцварош,25-10-1994,нап,3
20,Роланд Шаллаи,Фрайбург,22-5-1997,нап,3
23,Кевин Чобот,Уйпешт,20-6-2000,нап,3
1,Янн Зоммер,Интер Милан,17-12-1988,врт,4
12,Ивон Мвого,Лорьян,6-6-1994,врт,4
21,Грегор Кобель,Боруссия Дортмунд,6-12-1997,врт,4
2,Леонидас Стергиу,Штутгарт,3-3-2002,защ,4
3,Сильван Видмер,Майнц 05,5-3-1993,защ,4
4,Нико Эльведи,Боруссия Мёнхенгладбах,30-9-1996,защ,4
5,Мануэль Аканджи,Манчестер Сити,19-7-1995,защ,4
13,Рикардо Родригес,Торино,25-8-1992,защ,4
15,Седрик Цезигер,Вольфсбург,24-6-1998,защ,4
22,Фабиан Шер,Ньюкасл Юнайтед,20-12-1991,защ,4
6,Денис Закариа,Монако,20-11-1996,поз,4
8,Ремо Фройлер,Болонья,15-4-1992,поз,4
10,Гранит Джака,Байер 04,27-9-1992,поз,4
16,Венсан Сьерро,Тулуза,8-10-1995,поз,4
20,Мишель Эбишер,Болонья,6-1-1997,поз,4
23,Джердан Шакири,Чикаго Файр,10-10-1991,поз,4
24,Ардон Яшари,Люцерн,30-7-2002,поз,4
26,Фабиан Ридер,Ренн,16-2-2002,поз,4
7,Брель Эмболо,Монако,14-2-1997,нап,4
9,Ноа Окафор,Милан,24-5-2000,нап,4
11,Ренато Штеффен,Лугано,3-11-1991,нап,4
14,Стивен Цубер,АЕК Афины,17-8-1991,нап,4
17,Рубен Варгас,Аугсбург,5-8-1998,нап,4
18,Квадво Дуа,Лудогорец,24-2-1997,нап,4
19,Дан Ндойе,Болонья,25-10-2000,нап,4
25,Зеки Амдуни,Бернли,4-12-2000,нап,4
1,Давид Райя,Арсенал,15-9-1995,врт,5
13,Алекс Ремиро,Реал Сосьедад,24-3-1995,врт,5
23,Унаи Симон,Атлетик Бильбао,11-6-1997,врт,5
2,Дани Карвахаль,Реал Мадрид,11-1-1992,защ,5
3,Робен Ле Норман,Реал Сосьедад,11-11-1996,защ,5
4,Начо Фернандес,Реал Мадрид,18-1-1990,защ,5
5,Дани Вивиан,Атлетик Бильбао,5-7-1999,защ,5
12,Алехандро Гримальдо,Байер 04,20-9-1995,защ,5
14,Эмерик Ляпорт,Ан-Наср (Эр-Рияд),27-5-1994,защ,5
22,Хесус Навас,Севилья,21-11-1985,защ,5
24,Марк Кукурелья,Челси,22-7-1998,защ,5
6,Микель Мерино,Реал Сосьедад,22-6-1996,поз,5
8,Фабиан Руис,Пари Сен-Жермен,3-4-1996,поз,5
15,Алекс Баэна,Вильярреал,20-7-2001,поз,5
16,Родри,Манчестер Сити,22-6-1996,поз,5
18,Мартин Субименди,Реал Сосьедад,2-2-1999,поз,5
20,Педри,Барселона,25-11-2002,поз,5
25,Фермин Лопес,Барселона,11-5-2003,поз,5
7,Альваро Мората,Атлетико Мадрид,23-10-1992,нап,5
9,Хоселу,Реал Мадрид,27-5-1990,нап,5
10,Дани Ольмо,РБ Лейпциг,7-5-1998,нап,5
11,Ферран Торрес,Барселона,29-2-2000,нап,5
17,Нико Уильямс,Атлетик Бильбао,12-7-2002,нап,5
19,Ламин Ямаль,Барселона,13-7-2007,нап,5
21,Микель Оярсабаль,Реал Сосьедад,21-4-1997,нап,5
26,Айосе Перес,Реал Бетис,29-7-1993,нап,5
1,Доминик Ливакович,Фенербахче,9-1-1995,врт,6
12,Недилько Лабрович,Риека,10-10-1999,врт,6
23,Ивица Ивушич,Пафос,1-2-1995,врт,6
2,Йосип Станишич,Байер 04,2-4-2000,защ,6
3,Марин Понграчич,Лечче,11-9-1997,защ,6
4,Йошко Гвардиол,Манчестер Сити,23-1-2002,защ,6
5,Мартин Эрлич,Сассуоло,24-1-1998,защ,6
6,Йосип Шутало,Аякс,28-2-2000,защ,6
19,Борна Соса,Аякс,21-1-1998,защ,6
21,Домагой Вида,АЕК Афины,29-4-1989,защ,6
22,Йосип Юранович,Унион Берлин,16-8-1995,защ,6
7,Ловро Майер,Вольфсбург,17-1-1998,поз,6
8,Матео Ковачич,Манчестер Сити,6-5-1994,поз,6
10,Лука Модрич,Реал Мадрид,9-9-1985,поз,6
11,Марцело Брозович,Ан-Наср (Эр-Рияд),16-11-1992,поз,6
13,Никола Влашич,Торино,4-10-1997,поз,6
15,Марио Пашалич,Аталанта,9-2-1995,поз,6
18,Лука Иванушец,Фейеноорд,26-11-1998,поз,6
25,Лука Сучич,Ред Булл Зальцбург,8-9-2002,поз,6
26,Мартин Батурина,Динамо Загреб,16-2-2003,поз,6
9,Андрей Крамарич,Хоффенхайм,19-6-1991,нап,6
14,Иван Перишич,Хайдук Сплит,2-2-1989,нап,6
16,Анте Будимир,Осасуна,22-7-1991,нап,6
17,Бруно Петкович,Динамо Загреб,16-9-1994,нап,6
20,Марко Пьяца,Риека,6-5-1995,нап,6
24,Марко Пашалич,Риека,14-9-2000,нап,6
1,Джанлуиджи Доннарумма,Пари Сен-Жермен,25-2-1999,врт,7
12,Гульельмо Викарио,Тоттенхэм Хотспур,7-10-1994,врт,7
26,Алекс Мерет,Наполи,22-3-1997,врт,7
2,Джованни Ди Лоренцо,Наполи,4-8-1993,зщт,7
3,Федерико Димарко,Интер Милан,10-11-1997,зщт,7
4,Алессандро Буонджорно,Торино,6-6-1999,зщт,7
5,Риккардо Калафьори,Болонья,19-5-2002,зщт,7
6,Федерико Гатти,Ювентус,24-5-1998,зщт,7
13,Маттео Дармиан,Интер Милан,2-12-1989,зщт,7
15,Рауль Белланова,Торино,17-5-2000,зщт,7
17,Джанлука Манчини,Рома,17-4-1996,зщт,7
23,Алессандро Бастони,Интер Милан,13-4-1999,зщт,7
24,Андреа Камбьязо,Ювентус,20-2-2000,зщт,7
7,Давиде Фраттези,Интер Милан,22-9-1999,поз,7
8,Жоржиньо,Арсенал,20-12-1991,поз,7
10,Лоренцо Пеллегрини,Рома,19-5-1996,поз,7
16,Брайан Кристанте,Рома,3-3-1995,поз,7
18,Николо Барелла,Интер Милан,7-2-1997,поз,7
21,Николо Фаджоли,Ювентус,12-2-2001,поз,7
25,Майкл Фолоруншо,Эллас Верона,7-2-1998,поз,7
9,Джанлука Скамакка,Аталанта,1-1-1999,нап,7
11,Джакомо Распадори,Наполи,18-2-2000,нап,7
14,Федерико Кьеза,Ювентус,25-10-1997,нап,7
19,Матео Ретеги,Дженоа,29-4-1999,нап,7
20,Маттиа Дзакканьи,Лацио,16-6-1995,нап,7
22,Стефан Эль-Шаарави,Рома,27-10-1992,нап,7
1,Этрит Бериша,Эмполи,10-3-1989,врт,8
12,Эльхан Кастрати,Читтаделла,2-2-1997,врт,8
23,Томас Стракоша,Брентфорд,19-3-1995,врт,8
2,Иван Балью,Райо Вальекано,1-1-1992,защ,8
3,Марио Митай,Локомотив Москва,6-8-2003,защ,8
4,Эльсеид Хюсай,Лацио,2-2-1994,защ,8
5,Арлинд Аети,ЧФР Клуж,25-9-1993,защ,8
6,Берат Джимсити,Аталанта,19-2-1993,защ,8
13,Энеа Михай,Фамаликан,5-7-1998,защ,8
18,Ардиан Исмайли,Эмполи,30-9-1996,защ,8
24,Мараш Кумбулла,Сассуоло,8-2-2000,защ,8
25,Насер Алийи,Волунтари,27-12-1993,защ,8
8,Клаус Гясуля,Дармштадт 98,14-12-1989,поз,8
10,Недим Байрами,Сассуоло,28-2-1999,поз,8
14,Казим Лачи,Спарта (Прага),19-1-1996,поз,8
16,Медон Бериша,Лечче,21-10-2003,поз,8
17,Эрнест Мучи,Бешикташ,19-3-2001,поз,8
20,Юльбер Рамадани,Лечче,12-4-1996,поз,8
21,Кристьян Аслани,Интер Милан,9-3-2002,поз,8
22,Амир Абраши,Грассхоппер,27-3-1990,поз,8
7,Рей Манай,Сивасспор,24-2-1997,нап,8
9,Ясир Асани,Кванджу,19-5-1995,нап,8
11,Армандо Броя,Фулхэм,10-9-2001,нап,8
15,Таулянт Сефери,Бани Яс,15-11-1996,нап,8
19,Мирлинд Даку,Рубин,1-1-1998,нап,8
26,Арбер Ходжа,Динамо Загреб,6-10-1998,нап,8
1,Ян Облак,Атлетико Мадрид,7-1-1993,врт,9
12,Вид Белец,АПОЭЛ,6-6-1990,врт,9
16,Игор Векич,Вайле,6-5-1998,врт,9
2,Жан Карничник,Целе,18-9-1994,защ,9
3,Юре Балковец,Аланьяспор,9-9-1994,защ,9
4,Давид Брекало,Орландо Сити,3-12-1998,защ,9
6,Яка Бийол,Удинезе,5-2-1999,защ,9
13,Эрик Янжа,Гурник Забже,21-6-1993,защ,9
20,Петар Стоянович,Сампдория,7-10-1995,защ,9
21,Ваня Дркушич,Сочи,30-10-1999,защ,9
23,Миха Блажич,Лех Познань,8-5-1993,защ,9
5,Йон Горенц-Станкович,Штурм Грац,14-1-1996,поз,9
7,Беньямин Вербич,Панатинаикос,27-11-1993,поз,9
8,Санди Ловрич,Удинезе,28-3-1998,поз,9
10,Тими Макс Элшник,Олимпия Любляна,29-4-1998,поз,9
14,Ясмин Куртич,Зюйдтироль,10-1-1989,поз,9
15,Томи Хорват,Штурм Грац,24-3-1999,поз,9
22,Адам Гнезда-Черин,Панатинаикос,16-7-1999,поз,9
24,Нино Жугель,Будё-Глимт,23-5-2000,поз,9
25,Адриан Зелькович,Спартак (Трнава),19-8-2002,поз,9
9,Андраж Шпорар,Панатинаикос,27-2-1994,нап,9
11,Беньямин Шешко,РБ Лейпциг,31-5-2003,нап,9
17,Ян Млакар,Пиза,23-10-1998,нап,9
18,Жан Випотник,Бордо,18-3-2002,нап,9
19,Жан Целар,Лугано,14-3-1999,нап,9
26,Йосип Иличич,Марибор,29-1-1988,нап,9
1,Каспер Шмейхель,Андерлехт,5-11-1986,врт,10
16,Мадс Хермансен,Лестер Сити,11-7-2000,врт,10
22,Фредерик Рённов,Унион Берлин,4-8-1992,врт,10
2,Йоаким Андерсен,Кристал Пэлас,31-5-1996,защ,10
3,Янник Вестергор,Лестер Сити,3-8-1992,защ,10
4,Симон Кьер,Милан,26-3-1989,защ,10
5,Йоаким Меле,Вольфсбург,20-5-1997,защ,10
6,Андреас Кристенсен,Барселона,10-4-1996,защ,10
13,Матиас Йёргенсен,Брентфорд,23-4-1990,защ,10
17,Виктор Кристиансен,Болонья,16-12-2002,защ,10
18,Александер Ба,Бенфика,9-12-1997,защ,10
25,Расмус Кристенсен,Рома,11-7-1997,защ,10
7,Матиас Йенсен,Брентфорд,1-1-1996,поз,10
8,Томас Дилейни,Андерлехт,3-9-1991,поз,10
10,Кристиан Эриксен,Манчестер Юнайтед,14-2-1992,поз,10
15,Кристиан Нёргор,Брентфорд,10-3-1994,поз,10
21,Мортен Юльманн,Спортинг,25-6-1999,поз,10
23,Пьер-Эмиль Хёйбьерг,Тоттенхэм Хотспур,5-8-1995,поз,10
9,Расмус Хёйлунн,Манчестер Юнайтед,4-2-2003,нап,10
11,Андреас Сков Ольсен,Брюгге,29-12-1999,нап,10
12,Каспер Дольберг,Андерлехт,6-10-1997,нап,10
14,Миккель Дамсгор,Брентфорд,3-7-2000,нап,10
19,Йонас Винд,Вольфсбург,7-2-1999,нап,10
20,Юссуф Поульсен,РБ Лейпциг,15-6-1994,нап,10
24,Андерс Дрейер,Андерлехт,2-5-1998,нап,10
26,Якоб Бруун Ларсен,Бернли,19-9-1998,нап,10
1,Предраг Райкович,Мальорка,31-10-1995,врт,11
12,Джордже Петрович,Челси,8-10-1999,врт,11
23,Ваня Милинкович-Савич,Торино,20-2-1997,врт,11
2,Страхиня Павлович,Ред Булл Зальцбург,24-5-2001,защ,11
3,Неманья Стоич,ТСЦ,15-1-1998,защ,11
4,Никола Миленкович,Фиорентина,12-10-1997,защ,11
13,Милош Велькович,Вердер,26-9-1995,защ,11
15,Срджан Бабич,Спартак Москва,22-4-1996,защ,11
24,Урош Спаич,Црвена звезда,13-2-1993,защ,11
5,Неманья Максимович,Хетафе,26-1-1995,поз,11
6,Неманья Гудель,Севилья,16-11-1991,поз,11
10,Душан Тадич,Фенербахче,20-11-1988,поз,11
11,Филип Костич,Ювентус,1-11-1992,поз,11
14,Андрия Живкович,ПАОК,11-7-1996,поз,11
16,Срджан Мияилович,Црвена звезда,10-11-1993,поз,11
17,Иван Илич,Торино,17-3-2001,поз,11
19,Лазар Самарджич,Удинезе,24-2-2002,поз,11
20,Сергей Милинкович-Савич,Аль-Хиляль,27-2-1995,поз,11
21,Мият Гачинович,АЕК Афины,8-2-1995,поз,11
22,Саша Лукич,Фулхэм,13-8-1996,поз,11
25,Филип Младенович,Панатинаикос,15-8-1991,поз,11
26,Велько Бирманчевич,Спарта (Прага),5-3-1998,поз,11
7,Душан Влахович,Ювентус,28-1-2000,нап,11
8,Лука Йович,Милан,23-12-1997,нап,11
9,Александар Митрович,Аль-Хиляль,16-9-1994,нап,11
18,Петар Ратков,Ред Булл Зальцбург,18-8-2003,нап,11
1,Джордан Пикфорд,Эвертон,7-3-1994,врт,12
13,Эрон Рамздейл,Арсенал,14-5-1998,врт,12
23,Дин Хендерсон,Кристал Пэлас,12-3-1997,врт,12
2,Кайл Уокер,Манчестер Сити,28-5-1990,защ,12
3,Люк Шоу,Манчестер Юнайтед,12-7-1995,защ,12
5,Джон Стоунз,Манчестер Сити,28-5-1994,защ,12
6,Марк Гехи,Кристал Пэлас,13-7-2000,защ,12
12,Киран Триппьер,Ньюкасл Юнайтед,19-9-1990,защ,12
14,Эзри Конса,Астон Вилла,23-10-1997,защ,12
15,Льюис Данк,Брайтон энд Хоув Альбион,21-11-1991,защ,12
22,Джо Гомес,Ливерпуль,23-5-1997,защ,12
4,Деклан Райс,Арсенал,14-1-1999,поз,12
8,Трент Александер-Арнольд,Ливерпуль,7-10-1998,поз,12
10,Джуд Беллингем,Реал Мадрид,29-6-2003,поз,12
16,Конор Галлахер,Челси,6-2-2000,поз,12
25,Адам Уортон,Кристал Пэлас,6-2-2004,поз,12
26,Кобби Мейну,Манчестер Юнайтед,19-4-2005,поз,12
7,Букайо Сака,Арсенал,5-9-2001,нап,12
9,Гарри Кейн,Бавария,28-7-1993,нап,12
11,Фил Фоден,Манчестер Сити,28-5-2000,нап,12
17,Айван Тоуни,Брентфорд,16-3-1996,нап,12
18,Энтони Гордон,Ньюкасл Юнайтед,24-2-2001,нап,12
19,Олли Уоткинс,Астон Вилла,30-12-1995,нап,12
20,Джаррод Боуэн,Вест Хэм Юнайтед,20-12-1996,нап,12
21,Эберечи Эзе,Кристал Пэлас,29-6-1998,нап,12
24,Коул Палмер,Челси,6-5-2002,нап,12
1,Войцех Щенсный,Ювентус,18-4-1990,врт,13
12,Лукаш Скорупский,Болонья,5-5-1991,врт,13
22,Марцин Булка,Ницца,4-10-1999,врт,13
2,Бартош Саламон,Лех Познань,1-5-1991,защ,13
3,Павел Давидович,Эллас Верона,20-5-1995,защ,13
4,Себастьян Валюкевич,Эмполи,5-4-2000,защ,13
5,Ян Беднарек,Саутгемптон,12-4-1996,защ,13
14,Якуб Кивёр,Арсенал,15-2-2000,защ,13
15,Тымотеуш Пухач,Кайзерслаутерн,23-1-1999,защ,13
18,Бартош Берешиньский,Эмполи,12-7-1992,защ,13
6,Якуб Пётровский,Лудогорец,4-10-1997,поз,13
8,Якуб Модер,Брайтон энд Хоув Альбион,7-4-1999,поз,13
10,Пётр Зелиньский,Наполи,20-5-1994,поз,13
11,Камиль Гросицкий,Погонь (Щецин),8-6-1988,поз,13
13,Тарас Романчук,Ягеллония,14-11-1991,поз,13
17,Дамиан Шиманьский,АЕК Афины,16-6-1995,поз,13
19,Пшемыслав Франковский,Ланс,12-4-1995,поз,13
20,Себастиан Шиманьский,Фенербахче,10-5-1999,поз,13
21,Никола Залевский,Рома,23-1-2002,поз,13
24,Бартош Слиш,Атланта Юнайтед,23-9-1999,поз,13
25,Михал Скурась,Брюгге,15-2-2000,поз,13
26,Кацпер Урбаньский,Болонья,7-9-2004,поз,13
7,Кароль Свидерский,Эллас Верона,23-1-1997,нап,13
9,Роберт Левандовский,Барселона,21-8-1988,нап,13
16,Адам Букса,Антальяспор,12-7-1996,нап,13
23,Кшиштоф Пёнтек,Истанбул Башакшехир,1-7-1995,нап,13
1,Барт Вербрюгген,Брайтон энд Хоув Альбион,18-8-2002,врт,14
13,Джастин Бейло,Фейеноорд,22-1-1998,врт,14
23,Марк Флеккен,Брентфорд,13-7-1993,врт,14
2,Лютсарел Гертрёйда,Фейеноорд,18-7-2000,защ,14
3,Маттейс де Лигт,Бавария,12-8-1999,защ,14
4,Вирджил ван Дейк,Ливерпуль,8-7-1991,защ,14
5,Натан Аке,Манчестер Сити,18-2-1995,защ,14
6,Стефан де Врей,Интер Милан,5-2-1992,защ,14
15,Микки ван де Вен,Тоттенхэм Хотспур,19-4-2001,защ,14
17,Дейли Блинд,Жирона,9-3-1990,защ,14
7,Хави Симонс,РБ Лейпциг,21-4-2003,поз,14
8,Джорджиньо Вейналдум,Аль-Иттифак,11-11-1990,поз,14
12,Джереми Фримпонг,Байер 04,10-12-2000,поз,14
14,Тиджани Рейндерс,Милан,29-7-1998,поз,14
16,Джоуи Верман,ПСВ,19-11-1998,поз,14
20,Иан Матсен,Боруссия Дортмунд,10-3-2002,поз,14
22,Дензел Дюмфрис,Интер Милан,18-4-1996,поз,14
24,Йерди Схаутен,ПСВ,12-1-1997,поз,14
26,Райан Гравенберх,Ливерпуль,16-5-2002,поз,14
9,Ваут Вегхорст,Хоффенхайм,7-8-1992,нап,14
10,Мемфис Депай,Атлетико Мадрид,13-2-1994,нап,14
11,Коди Гакпо,Ливерпуль,7-5-1999,нап,14
18,Дониелл Мален,Боруссия Дортмунд,19-1-1999,нап,14
19,Брайан Бробби,Аякс,1-2-2002,нап,14
21,Джошуа Зиркзе,Болонья,22-5-2001,нап,14
25,Стивен Бергвейн,Аякс,8-10-1997,нап,14
1,Хайнц Линднер,Юнион,17-7-1990,врт,15
12,Никлас Хедль,Рапид,17-3-2001,врт,15
13,Патрик Пенц,Брондбю,2-1-1997,врт,15
2,Максимилиан Вёбер,Боруссия Мёнхенгладбах,4-2-1998,защ,15
3,Гернот Траунер,Фейеноорд,25-3-1992,защ,15
4,Кевин Дансо,Ланс,19-9-1998,защ,15
5,Штефан Пош,Болонья,14-5-1997,защ,15
14,Леопольд Кверфельд,Рапид,20-12-2003,защ,15
15,Филипп Линхарт,Фрайбург,11-7-1996,защ,15
16,Филипп Мвене,Майнц 05,29-1-1994,защ,15
21,Флавиус Данилюк,Ред Булл Зальцбург,27-4-2001,защ,15
6,Николас Зайвальд,РБ Лейпциг,4-5-2001,поз,15
8,Александер Прасс,Штурм Грац,26-5-2001,поз,15
9,Марсель Забитцер,Боруссия Дортмунд,17-3-1994,поз,15
10,Флориан Гриллич,Хоффенхайм,7-8-1995,поз,15
17,Флориан Кайнц,Кёльн,24-10-1992,поз,15
18,Романо Шмид,Вердер,27-1-2000,поз,15
19,Кристоф Баумгартнер,РБ Лейпциг,1-8-1999,поз,15
20,Конрад Лаймер,Бавария,27-5-1997,поз,15
22,Маттиас Зайдль,Рапид,24-1-2001,поз,15
23,Патрик Виммер,Вольфсбург,30-5-2001,поз,15
26,Марко Грюлль,Рапид,6-7-1998,поз,15
7,Марко Арнаутович,Интер Милан,19-4-1989,нап,15
11,Михаэль Грегорич,Фрайбург,18-4-1994,нап,15
24,Андреас Вайман,Вест Бромвич Альбион,5-8-1991,нап,15
25,Максимилиан Энтруп,Хартберг,25-7-1997,нап,15
1,Брис Самба,Ланс,26-4-1994,врт,16
16,Майк Меньян,Милан,3-7-1995,врт,16
23,Альфонс Ареола,Вест Хэм Юнайтед,27-2-1993,врт,16
2,Бенжамен Павар,Интер Милан,28-3-1996,защ,16
3,Ферлан Менди,Реал Мадрид,8-6-1995,защ,16
4,Дайо Упамекано,Бавария,27-10-1998,защ,16
5,Жюль Кунде,Барселона,12-11-1998,защ,16
17,Вильям Салиба,Арсенал,24-3-2001,защ,16
21,Жонатан Клосс,Олимпик Марсель,25-9-1992,защ,16
22,Тео Эрнандес,Милан,6-10-1997,защ,16
24,Ибраима Конате,Ливерпуль,25-5-1999,защ,16
6,Эдуарду Камавинга,Реал Мадрид,10-11-2002,поз,16
8,Орельен Чуамени,Реал Мадрид,27-1-2000,поз,16
13,Н’Голо Канте,Аль-Иттихад,29-3-1991,поз,16
14,Адриен Рабьо,Ювентус,3-4-1995,поз,16
18,Варрен Заир-Эмри,Пари Сен-Жермен,8-3-2006,поз,16
19,Юссуф Фофана,Монако,10-1-1999,поз,16
7,Антуан Гризманн,Атлетико Мадрид,21-3-1991,нап,16
9,Оливье Жиру,Милан,30-9-1986,нап,16
10,Килиан Мбаппе,Пари Сен-Жермен,20-12-1998,нап,16
11,Усман Дембеле,Пари Сен-Жермен,15-5-1997,нап,16
12,Рандаль Коло Муани,Пари Сен-Жермен,5-12-1998,нап,16
15,Маркус Тюрам,Интер Милан,6-8-1997,нап,16
20,Кингсли Коман,Бавария,13-6-1996,нап,16
25,Брадли Баркола,Пари Сен-Жермен,2-9-2002,нап,16
1,Кун Кастелс,Вольфсбург,25-6-1992,врт,17
12,Томас Камински,Лутон Таун,23-10-1992,врт,17
13,Матц Селс,Ноттингем Форест,26-2-1992,врт,17
2,Зено Дебаст,Андерлехт,24-10-2003,защ,17
3,Артюр Теат,Ренн,25-5-2000,защ,17
4,Ваут Фас,Лестер Сити,3-4-1998,защ,17
5,Ян Вертонген,Андерлехт,24-4-1987,защ,17
15,Тома Мёнье,Трабзонспор,12-9-1991,защ,17
21,Тимоти Кастань,Фулхэм,5-12-1995,защ,17
25,Максим Де Кёйпер,Брюгге,22-12-2000,защ,17
6,Аксель Витсель,Атлетико Мадрид,12-1-1989,поз,17
7,Кевин Де Брёйне,Манчестер Сити,28-6-1991,поз,17
8,Юри Тилеманс,Астон Вилла,7-5-1997,поз,17
11,Янник Карраско,Аш-Шабаб (Эр-Рияд),4-9-1993,поз,17
16,Астер Вранкс,Вольфсбург,4-10-2002,поз,17
17,Шарль Де Кетеларе,Аталанта,10-3-2001,поз,17
18,Орель Мангаля,Олимпик Лион,18-3-1998,поз,17
23,Артур Вермерен,Атлетико Мадрид,7-2-2005,поз,17
24,Амаду Онана,Эвертон,16-8-2001,поз,17
9,Леандро Троссард,Арсенал,4-12-1994,нап,17
10,Ромелу Лукаку,Рома,13-5-1993,нап,17
14,Доди Лукебакио,Севилья,24-9-1997,нап,17
19,Йохан Бакайоко,ПСВ,20-4-2003,нап,17
20,Лоис Опенда,РБ Лейпциг,16-2-2000,нап,17
22,Жереми Доку,Манчестер Сити,27-5-2002,нап,17
1,Мартин Дубравка,Ньюкасл Юнайтед,15-1-1989,врт,18
12,Марек Родак,Фулхэм,13-12-1996,врт,18
23,Генрих Равас,Нью-Инглэнд Революшн,16-8-1997,врт,18
2,Петер Пекарик,Герта,30-10-1986,защ,18
3,Денис Вавро,Копенгаген,10-4-1996,защ,18
4,Адам Оберт,Кальяри,23-8-2002,защ,18
